unidad_academica,id_estudiante,estado_civil,sexo,sit_laboral,tipo_residencia,anio_nacimiento,anio_egreso_med
ESCINFO,ESCINFO-6339,1.0,1,NC,1.0,2001,2018
ESCINFO,ESCINFO-6464,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6115,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-6466,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-6420,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-6223,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-6123,1.0,2,NC,1.0,2004,2020
ESCINFO,ESCINFO-5958,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5853,1.0,1,NC,1.0,2001,2018
ESCINFO,ESCINFO-5852,1.0,1,NC,-1.0,2002,2019
ESCINFO,ESCINFO-6372,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6250,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5845,1.0,1,NC,1.0,2001,2018
